episode_id,title,season,doctorid,is_special,is_earth,is_space,is_past,is_present,is_future,is_outside_time,Producer,Director,Writer,Music,date,Aired_Fri,Aired_Mon,Aired_Sat,Aired_Sun,Aired_Tue,Aired_Wed,rating,views,Has 10,Has 11,Has 12,Has 13,Has 9,Has Amy Pond,Has Bill,Has Clara,Has Cyberman,Has Dalek,Has Danny Pink,Has Donna Noble,Has Grace,Has Graham O'Brien,Has Jackie Tyler,Has Jenny Flint,Has Judoon,Has Kate Lethbridge-Stewart,Has Madame Kovarian,Has Madame Vastra,Has Martha Jones,Has Mickey Smith,Has Nardole,Has Ood,Has Osgood,Has River Song,Has Rory,Has Rose Tyler,Has Ryan Sinclair,Has Sarah Jane Smith,Has Sontaran,Has Sophie,Has The Master,Has The Silent,Has The War Doctor,Has Weeping Angel,Has Winston Churchill,Has Yasmin Khan,Has Zygon,Weekday
3.09,Family of Blood,3,10,0,1,0,1,0,0,0,Susie Liggat,Charles Palmer,Paul Cornell,Murray Gold,2007-06-02,0,0,1,0,0,0,9.2,7.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.1,Blink,3,10,0,1,0,0,1,0,0,Phil Collinson,Hettie MacDonald,Steven Moffat,Murray Gold,2007-06-09,0,0,1,0,0,0,9.8,6.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.11,Utopia,3,10,0,1,0,1,1,0,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2007-06-16,0,0,1,0,0,0,8.8,7.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Saturday
3.12,The Sound of Drums,3,10,0,1,0,0,1,0,0,Phil Collinson,Colin Teague,Russell T Davies,Murray Gold,2007-06-23,0,0,1,0,0,0,8.7,7.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Saturday
3.13,Last of the Time Lords,3,10,0,1,0,0,1,0,0,Phil Collinson,Colin Teague,Russell T Davies,Murray Gold,2007-06-30,0,0,1,0,0,0,8.4,8.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Saturday
4.0,Voyage of the Damned,4,10,1,1,1,0,1,0,0,Phil Collinson,James Strong,Russell T Davies,Murray Gold,2007-12-25,0,0,0,0,1,0,7.7,13.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday
4.01,Partners in Crime,4,10,0,1,0,0,1,0,0,Phil Collinson,James Strong,Russell T Davies,Murray Gold,2008-04-05,0,0,1,0,0,0,7.8,9.14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.02,The Fires of Pompeii,4,10,0,1,0,1,0,0,0,Phil Collinson,Colin Teague,James Moran,Murray Gold,2008-04-12,0,0,1,0,0,0,8.1,9.04,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.03,Planet of the Ood,4,10,0,0,1,0,0,1,0,Susie Liggat,Graeme Harper,Keith Temple,Murray Gold,2008-04-19,0,0,1,0,0,0,8.1,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.04,The Sontaran Stratagem,4,10,0,1,1,0,1,0,0,Susie Liggat,Douglas Mackinnon,Helen Raynor,Murray Gold,2008-04-26,0,0,1,0,0,0,7.5,7.06,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Saturday
4.05,The Poison Sky,4,10,0,1,0,0,1,0,0,Susie Liggat,Douglas Mackinnon,Helen Raynor,Murray Gold,2008-05-03,0,0,1,0,0,0,7.6,6.53,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Saturday
4.06,The Doctor's Daughter,4,10,0,0,1,0,0,1,0,Phil Collinson,Alice Troughton,Stephen Greenhorn,Murray Gold,2008-05-10,0,0,1,0,0,0,7.7,7.33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.07,The Unicorn and the Wasp,4,10,0,1,0,1,0,0,0,Susie Liggat,Graeme Harper,Gareth Roberts,Murray Gold,2008-05-17,0,0,1,0,0,0,7.8,8.41,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.08,Silence in the Library,4,10,0,0,1,0,0,1,0,Phil Collinson,Euros Lyn,Steven Moffat,Murray Gold,2008-05-31,0,0,1,0,0,0,9.4,6.27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.09,Forest of the Dead,4,10,0,0,1,0,0,1,0,Phil Collinson,Euros Lyn,Steven Moffat,Murray Gold,2008-06-07,0,0,1,0,0,0,9.5,7.84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.1,Midnight,4,10,0,0,1,0,0,1,0,Phil Collinson,Alice Troughton,Russell T Davies,Murray Gold,2008-06-14,0,0,1,0,0,0,9.0,8.05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.11,Turn Left,4,10,0,1,1,1,0,1,0,Susie Liggat,Graeme Harper,Russell T Davies,Murray Gold,2008-06-21,0,0,1,0,0,0,8.9,8.09,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
4.12,The Stolen Earth,4,10,0,1,0,0,1,0,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2008-06-28,0,0,1,0,0,0,9.1,8.78,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Saturday
4.13,Journey's End,4,10,0,0,1,0,1,0,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2008-07-05,0,0,1,0,0,0,9.1,10.57,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Saturday
5.01,The Eleventh Hour,5,11,0,1,0,0,1,0,0,Tracie Simpson,Adam Smith,Steven Moffat,Murray Gold,2010-04-03,0,0,1,0,0,0,8.8,10.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
5.02,The Beast Below,5,11,0,0,1,0,0,1,0,Peter Bennett,Andrew Gunn,Steven Moffat,Murray Gold,2010-04-10,0,0,1,0,0,0,7.6,8.42,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Saturday
5.03,Victory of the Daleks,5,11,0,1,0,1,0,0,0,Peter Bennett,Andrew Gunn,Mark Gatiss,Murray Gold,2010-04-17,0,0,1,0,0,0,6.8,7.82,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Saturday
5.04,The Time of Angels,5,11,0,0,1,0,0,1,0,Tracie Simpson,Adam Smith,Steven Moffat,Murray Gold,2010-04-24,0,0,1,0,0,0,8.7,8.59,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Saturday
5.05,Flesh and Stone,5,11,0,0,1,0,0,1,0,Tracie Simpson,Adam Smith,Steven Moffat,Murray Gold,2010-05-01,0,0,1,0,0,0,8.6,8.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Saturday
5.06,The Vampires of Venice,5,11,0,1,0,1,0,0,0,Patrick Schweitzer,Jonny Campbell,Toby Whithouse,Murray Gold,2010-05-08,0,0,1,0,0,0,7.1,7.68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
5.07,Amy's Choice,5,11,0,1,1,0,0,1,1,Tracie Simpson,Catherine Morshead,Simon Nye,Murray Gold,2010-05-15,0,0,1,0,0,0,8.2,7.55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
5.08,The Hungry Earth,5,11,0,1,0,0,0,1,0,Peter Bennett,Ashley Way,Chris Chibnall,Murray Gold,2010-05-22,0,0,1,0,0,0,7.3,6.49,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
5.09,Cold Blood,5,11,0,1,0,0,0,1,0,Peter Bennett,Ashley Way,Chris Chibnall,Murray Gold,2010-05-29,0,0,1,0,0,0,7.5,7.49,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
5.1,Vincent and the Doctor,5,11,0,1,0,1,0,0,0,Patrick Schweitzer,Jonny Campbell,Richard Curtis,Murray Gold,2010-06-05,0,0,1,0,0,0,9.3,6.76,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
5.11,The Lodger,5,11,0,1,0,0,1,0,0,Tracie Simpson,Catherine Morshead,Gareth Roberts,Murray Gold,2010-06-12,0,0,1,0,0,0,8.3,6.44,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Saturday
5.12,The Pandorica Opens,5,11,0,1,0,1,0,0,0,Peter Bennett,Toby Haynes,Steven Moffat,Murray Gold,2010-06-19,0,0,1,0,0,0,9.1,7.58,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Saturday
5.13,The Big Bang,5,11,0,1,0,1,0,0,0,Peter Bennett,Toby Haynes,Steven Moffat,Murray Gold,2010-06-26,0,0,1,0,0,0,9.2,6.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
6.0,A Christmas Carol,6,11,1,0,1,0,0,1,0,Sanne Wohlenberg,Toby Haynes,Steven Moffat,Murray Gold,2010-12-25,0,0,1,0,0,0,8.6,12.11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
6.01,The Impossible Astronaut,6,11,0,1,0,1,1,0,0,Marcus Wilson,Toby Haynes,Steven Moffat,Murray Gold,2011-04-23,0,0,1,0,0,0,8.9,8.86,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Saturday
6.02,Day of the Moon,6,11,0,1,0,1,0,0,0,Marcus Wilson,Toby Haynes,Steven Moffat,Murray Gold,2011-04-30,0,0,1,0,0,0,8.9,7.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Saturday
